Section Headers
Taxonomy
Evolution
Domestication
Breeds
Biology
Anatomy
Skeleton
Senses
Coat
Tail
Health
Lifespan
Reproduction
Neutering
Inbreeding depression
Behavior
Intelligence
Communication
Ecology
Population
Competitors and predators
Diet
Range
Roles with humans
Pets
Workers
Athletes and models
Food
Health risks
Health benefits
Cultural importance
Terminology
See also
References
Bibliography
External links
